3.98300033,21.28974713
3.98300032,26.186
3.98300030,26.186
3.98300028,19.289
3.98300026,19.31
3.98300024,21.056
3.98300000,0.00244148
3.98100000,26.25
3.97872324,0.23951403
3.97651242,4.53
3.92000730,174.857
3.92000729,217.11550265
3.92000521,50
3.92000000,0.000101
3.90000000,0.000101
3.88000000,0.000101
3.86000000,0.000101
3.84000000,0.000101
3.82000000,0.000101
3.80773255,0.01121462
3.80000000,0.52951678
3.78269551,0.32343223
3.78000000,0.000101
3.76000000,0.000101
3.75000000,0.1
3.74700970,0.32651254
3.74000000,0.000101
3.72000001,2644.79412878
3.72000000,0.000101
3.70000000,0.000101
